,city,06/24/2009,06/30/2009,07/08/2009,08/17/2009,coordinates
0,Niagara,0.5,0.5,0.5,1.0,"(41.31637245, -74.13026530279515)"
1,Orleans ,0.5,1.0,1.0,1.0,"(44.218071, -75.94489689533333)"
2,Genesee,0.5,1.0,1.0,1.0,"(43.0102726, -78.1780196)"
3,Wyoming,0.5,0.5,0.5,1.0,"(42.8264498, -78.0897329)"
4,Erie,0.5,1.0,1.0,1.0,"(42.9801753, -78.80533515608626)"
5,Chautauqua,0.5,0.5,1.0,1.0,"(42.209633, -79.4663814)"
6,Cattaraugus,0.5,0.5,0.5,1.0,"(42.330431000000004, -78.86812105491464)"
7,Allegany,0.5,0.5,0.5,1.0,"(42.0900239, -78.4943858)"
8,Monroe,0.5,1.0,1.0,1.0,"(41.3304767, -74.1866348)"
9,Steuben,0.5,0.5,0.5,1.0,"(43.320182, -75.283127)"
10,Yates,0.5,0.5,0.5,1.0,"(43.339997600000004, -78.3877459617913)"
11,Ontario,0.5,1.0,1.0,1.0,"(43.2416104, -77.31387453711392)"
12,Wayne,0.5,0.5,1.0,1.0,"(42.4709046, -77.1055262)"
13,Livingston,0.5,0.5,0.5,1.0,"(42.1420336, -73.777905)"
14,Schuyler,0.5,0.5,0.5,1.0,"(42.8245448, -73.90359224632367)"
15,Chemung,0.5,0.5,0.5,0.5,"(42.0084073, -76.623736)"
16,Tioga,0.5,0.5,0.5,1.0,"(42.1333395, -76.3309339)"
17,Tompkins,1.0,1.0,1.0,1.0,"(42.443114, -76.47259209120807)"
18,Cayuga ,0.5,0.5,0.5,0.5,"(42.9189555, -76.7263397)"
19,Seneca,0.5,0.5,0.5,1.0,"(42.83012645, -77.07289052171726)"
20,Onondaga,0.5,0.5,1.0,1.0,"(43.2462592, -77.4592856)"
21,Cortland,0.5,1.0,1.0,1.0,"(42.6011813, -76.1804843)"
22,ST. Lawrence,0.5,0.5,1.0,1.0,"(44.1772711, -76.1677157)"
23,Jefferson,0.5,1.0,1.0,1.0,"(42.4811884, -74.6104276)"
24,Oswego,0.5,0.5,0.5,1.0,"(43.4547284, -76.5095967)"
25,Oneida,0.5,0.5,1.0,1.0,"(43.2144051, -75.4039155)"
26,Madison,0.5,0.5,0.5,0.5,"(42.8978935, -75.51216723056324)"
27,Chenango,0.5,1.0,1.0,1.0,"(42.4784565, -75.6130279)"
28,Broome,0.5,0.5,0.5,1.0,"(42.1455623, -75.8404114)"
29,Otsego,0.5,0.5,1.0,1.0,"(42.5984272, -75.0142701)"
30,lewis,0.5,0.5,1.0,1.0,"(44.275196, -73.565826)"
31,Herkimer,0.5,0.5,0.5,0.5,"(43.0256259, -74.9859889)"
32,Hamilton,0.5,0.5,0.5,1.0,"(42.8268798, -75.5444159)"
33,Franklin,0.5,1.0,1.0,1.0,"(44.528487999999996, -74.0438840998247)"
34,Clinton,0.5,1.0,1.0,1.0,"(43.0484029, -75.3785034)"
35,Essex,0.5,0.5,0.5,1.0,"(44.3093018, -73.3504048)"
36,Warren,0.5,0.5,1.0,1.0,"(42.8472949, -74.9209865)"
37,Washington,0.5,0.5,1.0,1.0,"(43.04993455, -74.34043681294581)"
38,fulton,0.5,0.5,0.5,1.0,"(43.322846, -76.417159)"
39,Saratoga,0.5,0.5,1.0,1.0,"(41.3149011, -74.12503520754366)"
40,Schenectady,0.5,1.0,1.0,1.0,"(42.8142432, -73.9395687)"
41,Montgomery,0.5,0.5,1.0,1.0,"(41.5275938, -74.236816)"
42,Schoharie,0.5,0.5,0.5,1.0,"(42.6659088, -74.3095787)"
43,Rensselaer,0.5,0.5,1.0,1.0,"(42.6425795, -73.742898)"
44,Albany,0.5,0.5,1.0,1.0,"(42.6511674, -73.754968)"
45,Delaware,0.5,0.5,0.5,1.0,"(42.6243652, -79.0640931)"
46,Greene,0.5,0.5,0.5,1.0,"(42.3292408, -75.7699147)"
47,Ulster,0.5,1.0,1.0,1.0,"(41.8689317, -74.2618518)"
48,Sullivan,0.5,0.5,0.5,0.5,"(43.0545116, -75.8468569)"
49,Columbia,0.5,0.5,0.5,1.0,"(42.4307559, -73.3991644)"
50,Dutchess,0.5,0.5,1.0,1.0,"(41.785089, -73.6936044)"
51,Putnam,0.5,0.5,0.5,1.0,"(43.746793, -73.397255)"
52,Orange,0.5,1.0,1.0,1.0,"(41.3546736, -74.38111167586358)"
53,Westchester,0.5,0.5,1.0,1.0,"(40.937957, -73.896709)"
54,Rockland,0.5,0.5,0.5,1.0,"(41.1519319, -74.0357266)"
55,new york city ,0.5,0.5,0.5,0.0,"(40.7127281, -74.0060152)"
56,Nassau,0.5,0.5,0.5,1.0,"(42.5159145, -73.6101159)"
57,Suffolk,0.5,1.0,1.0,1.0,"(40.741235950000004, -73.35669116536101)"
58,richmond,0.5,0.5,0.5,0.5,"(42.7601685, -77.49443189798382)"
59,queens,0.5,0.5,0.5,0.5,"(40.7135078, -73.8283132)"
60,kings,0.5,0.5,0.5,0.0,"(43.1509069, -73.8542895)"
61,bronx,0.5,0.5,0.5,0.5,"(40.8466508, -73.8785937)"
62,new jersey,0.5,0.5,0.5,1.0,"(42.075346, -73.601633)"
